id,word,num
182,ст,0.01633061224489796
183,злоумышленник,0.019175510204081633
184,арендный,0.013744897959183672
185,акциз,0.10956563618016694
186,застройщик,0.012685714285714286
187,14,0.018134693877551022
188,нерезидент,0.10262819924777541
189,основное,0.011391836734693878
190,малоимущий,0.03804591836734694
191,ндпить,0.009959183673469388
192,20,0.016020408163265307
193,моисеев,0.013257142857142858
194,намерить,0.011718367346938777
195,игорь,0.020420408163265305
196,дмитрий,0.049102040816326534
197,евросоюз,0.008400000000000001
198,пресс-секретарь,0.04081632653061224
199,подлежащее,0.03649795918367347
200,50%,0.03461632653061224
201,анонсировать,0.04081632653061224
202,призывный,0.0264
203,вячеслав,0.030506122448979586
204,26,0.028216326530612245
205,1с,0.034848979591836735
206,приостанавливать,0.03284081632653061
207,маркировка,0.024914285714285715
